,攻击,力量,敏捷,智识,意志,暴击,暴击伤害,源石技艺强度,终结技充能效率,物理加成,灼热加成,电磁加成,寒冷加成,自然加成,普攻加成,失衡加成,战技加成,连携技加成,终结技加成,攻击力加成,主属性,副属性
轻超域护手0锻,,43,65,,,,,0.345,,,,,,,,,,,,,,
轻超域护手3锻,,55,84,,,,,0.4485,,,,,,,,,,,,,,
轻超域轻护手0锻,,,43,,65,,,,,,,,,,,,0.23,0.23,0.23,,,
轻超域轻护手3锻,,,55,,84,,,,,,,,,,,,0.299,0.299,0.299,,,
动火用手甲0锻,,43,,65,,,,,,,0.191666666666667,,,0.191666666666667,,,,,,,,
动火用手甲3锻,,55,,84,,,,,,,0.24916667,,,0.24916667,,,,,,,,
动火用手甲·壹型0锻,,,,43,65,,,,,,0.191666666666667,,,0.191666666666667,,,,,,,,
动火用手甲·壹型3锻,,,,55,84,,,,,,0.24916667,,,0.24916667,,,,,,,,
动火用手套0锻,,65,,,43,,,0.345,,,,,,,,,,,,,,
动火用手套3锻,,84,,,55,,,0.4485,,,,,,,,,,,,,,
M.I.警用手环0锻,,,43,65,,,,,,,,,,,0.23,,,,,,,
M.I.警用手环3锻,,,55,84,,,,,,,,,,,0.299,,,,,,,
M.I.警用手环·壹型0锻,,,,65,43,0.08625,,,,,,,,,,,,,,,,
M.I.警用手环·壹型3锻,,,,84,55,0.112125,,,,,,,,,,,,,,,,
M.I.警用手套0锻,,43,65,,,,,,,,,,,,,,0.345,,,,,
M.I.警用手套3锻,,55,84,,,,,,,,,,,,,,0.4485,,,,,
M.I.警用手套·壹型0锻,,,65,43,,,,,,,,,,,,,,,0.43125,,,
M.I.警用手套·壹型3锻,,,84,55,,,,,,,,,,,,,,,0.560625,,,
长息护手0锻,,43,,65,,,,,0.205357142857143,,,,,,,,,,,,,
长息护手3锻,,55,,84,,,,,0.2669643,,,,,,,,,,,,,
长息护手·壹型0锻,,,,65,43,,,,0.205357142857143,,,,,,,,,,,,,
长息护手·壹型3锻,,,,84,55,,,,0.2669643,,,,,,,,,,,,,
点剑战术手套0锻,,65,,,43,,,,,0.191666666666667,,,,,,,,,,,,
点剑战术手套3锻,,84,,,55,,,,,0.24916667,,,,,,,,,,,,
点剑战术手甲0锻,,43,65,,,,,,,,,,,,,,,,0.43125,,,
点剑战术手甲3锻,,55,84,,,,,,,,,,,,,,,,0.560625,,,
点剑战术手甲·壹型0锻,,65,,,43,,,0.345,,,,,,,,,,,,,,
点剑战术手甲·壹型3锻,,84,,,55,,,0.4485,,,,,,,,,,,,,,
生物辅助手甲0锻,,43,,,65,,,,,,,,,,,,,,,,,
生物辅助手甲3锻,,55,,,84,,,,,,,,,,,,,,,,,
生物辅助臂甲0锻,,65,,,43,,,,0.205357142857143,,,,,,,,,,,,,
生物辅助臂甲3锻,,84,,,55,,,,0.2669643,,,,,,,,,,,,,
50式应龙护手0锻,,,65,43,,,,,,,,,,,,,,0.345,,,,
50式应龙护手3锻,,,84,55,,,,,,,,,,,,,,0.4485,,,,
50式应龙护手·壹型0锻,,,43,,65,,,,,,,,,,,,,0.345,,,,
50式应龙护手·壹型3锻,,,55,,84,,,,,,,,,,,,,0.4485,,,,
脉冲式手套0锻,,,,43,65,,,,,,,0.191666666666667,0.191666666666667,,,,,,,,,
脉冲式手套3锻,,,,55,84,,,,,,,0.24916667,0.24916667,,,,,,,,,
拓荒耐蚀手套0锻,,,65,43,,,,,,,,,,,,,0.345,,,,,
拓荒耐蚀手套3锻,,,84,55,,,,,,,,,,,,,0.4485,,,,,
拓荒纤维手套0锻,,43,,,65,,,,,,,,,,,,0.23,0.23,0.23,,,
拓荒纤维手套3锻,,55,,,84,,,,,,,,,,,,0.299,0.299,0.299,,,
拓荒纤维手套·壹型0锻,,,43,65,,,,,0.205357142857143,,,,,,,,,,,,,
拓荒纤维手套·壹型3锻,,,55,84,,,,,0.2669643,,,,,,,,,,,,,
潮涌手甲0锻,,65,,,43,,,,,,,0.191666666666667,0.191666666666667,,,,,,,,,
潮涌手甲3锻,,84,,,55,,,,,,,0.24916667,0.24916667,,,,,,,,,
蚀电屏蔽手套·壹型(智力),,30,,46,,,,,,,,,,,,,,,,0.1225,,
蚀电防护手套·壹型(意敏),,,30,,46,,,,,,,,,,,,,,,0.1225,,
巡行信使手套·壹型(敏力),,30,46,,,,,,,,,,,,,,,,,0.1225,,
重装信使手套·壹型(力敏),,46,30,,,,,,,,,,,,,,,,,0.1225,,
碾骨腕带0锻,,65,43,,,,,,,,0.191666666666667,,,0.191666666666667,,,,,,,,
碾骨腕带3锻,,84,55,,,,,,,,0.24916667,,,0.24916667,,,,,,,,
碾骨腕带·壹型0锻,,43,65,,,,,,,,,0.191666666666667,0.191666666666667,,,,,,,,,
碾骨腕带·壹型3锻,,55,84,,,,,,,,,0.24916667,0.24916667,,,,,,,,,
碾骨手套0锻,,,65,,43,,,,,,,0.191666666666667,0.191666666666667,,,,,,,,,
碾骨手套3锻,,,84,,55,,,,,,,0.24916667,0.24916667,,,,,,,,,
纾难护手0锻,,,86,,,,,,,,,,,,,,,,0.45,,,
纾难护手3锻,,,111,,,,,,,,,,,,,,,,0.585,,,
纾难手套0锻,,86,,,,,,,,,,,,,,,0.24,0.24,0.24,,,
纾难手套3锻,,111,,,,,,,,,,,,,,,0.312,0.312,0.312,,,
壤流护手0锻,,,,43,65,,,,,,,0.191666666666667,0.191666666666667,,,,,,,,,
壤流护手3锻,,,,55,84,,,,,,,0.24916667,0.24916667,,,,,,,,,
清波手甲0锻,,43,65,,,,,,,,,,,,,,0.24,0.24,0.24,,,
清波手甲3锻,,55,84,,,,,,,,,,,,,,0.312,0.312,0.312,,,
清波护手0锻,,,,65,43,,,,0.205357142857143,,,,,,,,,,,,,
清波护手3锻,,,,84,55,,,,0.2669643,,,,,,,,,,,,,
旧锋手甲0锻,,65,,,43,,,0.345,,,,,,,,,,,,,,
旧锋手甲3锻,,84,,,55,,,0.4485,,,,,,,,,,,,,,
旧锋手甲·壹型0锻,,43,65,,,,,0.345,,,,,,,,,,,,,,
旧锋手甲·壹型3锻,,55,84,,,,,0.4485,,,,,,,,,,,,,,
