干员,主能力,副能力,怪物抗性,,,暴击伤害,非暴击伤害,期望伤害,次数,技能名,增益1,增益2,增益3,增益4,增益5,增益6,增益7,增益8,增益9,增益10,增益11,增益12,增益13,增益14,增益15,倍率,攻击加成,即时攻击,暴击,暴击伤害,伤害加成,源石技艺加成,增幅加成,脆弱加成,易伤加成,失衡易伤加成,抗性,连击加成,特殊加成
弭弗0-1潜,力量,意志,0,,,198099.056359996,132066.03757333,142631.320579197,1,3层猛击,旧锋3层翻倍,弭弗连携脆弱0潜,幻想苦痛3层5潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,0.08,5196.6288,0.16,1.5,1.3765,1.7667,0,0.05,0,0,0,0,0.227040816326531
武器,力量,680.46,,,,19450.91664054,12967.27776036,14004.6599811888,1,弭弗战技二(0-4潜),旧锋3层翻倍,弭弗连携脆弱0潜,幻想苦痛3层5潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.08,5196.6288,0.16,1.5,1.3765,0,0,0.05,0,0,0,0,0
幻想痛苦5潜,敏捷,92.94,轴长,1,,193733.463849775,129155.642566517,139488.093971838,1,弭弗战技三(0-4潜),旧锋3层翻倍,弭弗连携脆弱0潜,幻想苦痛3层5潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,0.08,5196.6288,0.16,1.5,1.3765,1.7667,0,0.05,0,0,0,0,0.2
护甲,智识,90.9,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
旧锋装甲3锻,意志,276.25,总伤,372956.783092287,,24313.645800675,16209.09720045,17505.824976486,1,弭弗连携,旧锋3层翻倍,弭弗连携脆弱0潜,幻想苦痛3层5潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2.5,0.08,5196.6288,0.16,1.5,1.3765,0,0,0.05,0,0,0,0,0
护手,基础攻击,805,,,,68078.20824189,45385.47216126,49016.3099341608,1,弭弗大招,旧锋3层翻倍,弭弗连携脆弱0潜,幻想苦痛3层5潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,0.08,5196.6288,0.16,1.5,1.3765,0,0,0.05,0,0,0,0,0
旧锋手甲3锻,攻击力加成,0.08,,,,14320.2411797445,9546.827453163,10310.573649416,1,倒地/击飞,旧锋3层翻倍,弭弗连携脆弱0潜,幻想苦痛3层5潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1.2,0.08,5196.6288,0.16,1.5,1.3765,0,0,0.05,0,0,0,0,0.227040816326531
配件一,能力值加成,3.952,DPS,372956.783092287,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
旧锋刺刃3锻,暴击,0.16,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
配件二,暴击伤害,1.5,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
