干员,主能力,副能力,怪物抗性,,,暴击伤害,非暴击伤害,期望伤害,次数,技能名,增益1,增益2,增益3,增益4,增益5,增益6,增益7,增益8,增益9,增益10,增益11,增益12,增益13,增益14,增益15,倍率,攻击加成,即时攻击,暴击,暴击伤害,伤害加成,源石技艺加成,增幅加成,脆弱加成,易伤加成,失衡易伤加成,抗性,连击加成,特殊加成
弭弗0-1潜,力量,意志,0,,,223161.641379285,148774.42758619,160676.381793085,1,3层猛击,旧锋3层翻倍,弭弗连携脆弱0潜,弭弗专武+强度0潜,弭弗专武+物伤3层0潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,0.47,6896.898,0.16,1.5,1.2625,1.4667,0,0.05,0,0,0,0,0.227040816326531
武器,力量,680.46,,,,24576.664966875,16384.44331125,17695.19877615,1,弭弗战技二(0-4潜),旧锋3层翻倍,弭弗连携脆弱0潜,弭弗专武+强度0潜,弭弗专武+物伤3层0潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.47,6896.898,0.16,1.5,1.2625,0,0,0.05,0,0,0,0,0
赤缨0潜,敏捷,92.94,轴长,1,,218243.734105646,145495.822737097,157135.488556065,1,弭弗战技三(0-4潜),旧锋3层翻倍,弭弗连携脆弱0潜,弭弗专武+强度0潜,弭弗专武+物伤3层0潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,0.47,6896.898,0.16,1.5,1.2625,1.4667,0,0.05,0,0,0,0,0.2
护甲,智识,90.9,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
旧锋装甲3锻,意志,276.25,总伤,432586.902002821,,30720.8312085938,20480.5541390625,22118.9984701875,1,弭弗连携,旧锋3层翻倍,弭弗连携脆弱0潜,弭弗专武+强度0潜,弭弗专武+物伤3层0潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2.5,0.47,6896.898,0.16,1.5,1.2625,0,0,0.05,0,0,0,0,0
护手,基础攻击,825,,,,86018.3273840625,57345.551589375,61933.195716525,1,弭弗大招,旧锋3层翻倍,弭弗连携脆弱0潜,弭弗专武+强度0潜,弭弗专武+物伤3层0潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,0.47,6896.898,0.16,1.5,1.2625,0,0,0.05,0,0,0,0,0
旧锋手甲3锻,攻击力加成,0.47,,,,18093.9426261228,12062.6284174152,13027.6386908084,1,倒地/击飞,旧锋3层翻倍,弭弗连携脆弱0潜,弭弗专武+强度0潜,弭弗专武+物伤3层0潜,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1.2,0.47,6896.898,0.16,1.5,1.2625,0,0,0.05,0,0,0,0,0.227040816326531
配件一,能力值加成,3.952,DPS,432586.902002821,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
旧锋刺刃3锻,暴击,0.16,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
配件二,暴击伤害,1.5,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
点剑定位信标3锻,源石技艺,0.9867,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
套装,终结技充能,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
旧锋,物理加成,0.7045,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
食物,灼热加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
清炖兽排参须汤,电磁加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,寒冷加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,自然加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,失衡加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,普攻加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,战技加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,连携技加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,终结技加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,主属性加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,副属性加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,额外固定攻击,180,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.47,6896.898,0.16,1.5,0.7045,0,0,0,0,0,0,0,0
