,攻击,力量,敏捷,智识,意志,暴击,暴击伤害,源石技艺强度,终结技充能效率,物理加成,灼热加成,电磁加成,寒冷加成,自然加成,普攻加成,失衡加成,战技加成,连携技加成,终结技加成,攻击力加成,主属性,副属性
点剑火石0锻,,21,32,,,,,,,0.23,,,,,,,,,,,,
点剑火石3锻,,27,41,,,,,,,0.299,,,,,,,,,,,,
点剑定位信标0锻,,41,,,,,,0.414,,,,,,,,,,,,,,
点剑定位信标3锻,,53,,,,,,0.5382,,,,,,,,,,,,,,
点剑微型滤芯0锻,,32,,,21,,,,,0.23,,,,,,,,,,,,
点剑微型滤芯3锻,,41,,,27,,,,,0.299,,,,,,,,,,,,
点剑短刃0锻,,21,32,,,,,,,,,,,,,,,,0.5175,,,
点剑短刃3锻,,27,41,,,,,,,,,,,,,,,,0.67275,,,
生物辅助护板0锻,,,,21,32,,,,,,,,,,,,,,,,0.207017835010977,
生物辅助护板3锻,,,,27,41,,,,,,,,,,,,,,,,0.2691232,
生物辅助接驳器0锻,,32,,,21,,,,,0.23,,,,,,,,,,,,
生物辅助接驳器3锻,,41,,,27,,,,,0.299,,,,,,,,,,,,
生物辅助接驳器·壹型0锻,,32,,,21,,,,,,,,,,,,,,,,,
生物辅助接驳器·壹型3锻,,41,,,27,,,,,,,,,,,,,,,,,
生物辅助接驳器·贰型0锻,,41,,,,,,,,,,,,,,,,,,,,
生物辅助接驳器·贰型3锻,,53,,,,,,,,,,,,,,,,,,,,
生物辅助护盾针0锻,,,,,41,,,,,,,,,,,,,,,,,
生物辅助护盾针3锻,,,,,53,,,,,,,,,,,,,,,,,
动火用测温镜0锻,,,,41,,,,,,,,,,,,,0.414,,,,,
动火用测温镜3锻,,,,53,,,,,,,,,,,,,0.5382,,,,,
动火用储能匣0锻,,32,21,,,,,0.414,,,,,,,,,,,,,,
动火用储能匣3锻,,41,27,,,,,0.5382,,,,,,,,,,,,,,
动火用电力匣0锻,,,,21,32,,,0.414,,,,,,,,,,,,,,
动火用电力匣3锻,,,,27,41,,,0.5382,,,,,,,,,,,,,,
